seller,kind,name,species,quality,thickness,width,length,price,area_m2,price_per_m2
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 18x1250x2500 mm BB/CP,Birch,BB/CP,18,1250,2500,2716.875,3.125,869.4
drevoma.sk,BETONPLEX,BETONPLEX F/F Eukalyptus 21x1250x2500mm,Eukalyptus,,21,1250,2500,2799.951,3.125,895.9843
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 27x1500x3000mm,Birch,,27,1500,3000,6781.32,4.5,1506.96
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 27x1250x2500mm,Birch,,27,1250,2500,4758.999,3.125,1522.8796
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 21x1250x2500 mm,Birch,,21,1250,2500,3513.825,3.125,1124.424
drevoma.sk,Plywood,"Preglejka dýhovaná Dub/Meranti 3,6x1220x2440 mm A",Dub/Meranti,A,6,1220,2440,675.717,2.9768,226.99442
drevoma.sk,Plywood,Preglejka stolárska Breza 8x1525x1525 mm B/BB,Birch,B/BB,8,1525,1525,1145.6759,2.325625,492.6314
drevoma.sk,Plywood,Preglejka stolárska Topoľ  8x1220x2520 mm AB/BB,Poplar,AB/BB,8,1220,2520,1371.9615,3.0744002,446.25342
drevoma.sk,Plywood,Preglejka vodovzdorná / hladká Topoľ 21x1250x2500mm,Poplar,,21,1250,2500,2798.502,3.125,895.5206
drevoma.sk,Plywood,Preglejka stolárska Topoľ  3x1720x2520 mm AB/BB,Poplar,AB/BB,3,1720,2520,1093.7535,4.3343997,252.34256
drevoma.sk,Plywood,Preglejka stolárska Buk 15x1250x2500 mm BB/CP,Beech,BB/CP,15,1250,2500,2635.4895,3.125,843.3566
drevoma.sk,Plywood,Preglejka stolárska Buk 10x1250x2500 mm BB/CP,Beech,BB/CP,10,1250,2500,1829.3624,3.125,585.396
drevoma.sk,Plywood,Preglejka stolárska Borovica 18x1250x2500 mm AB,Pine,AB,18,1250,2500,3033.9644,3.125,970.8686
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 30x1250x2500mm,Birch,,30,1250,2500,5931.9644,3.125,1898.2286
drevoma.sk,Plywood,Preglejka stolárska Topoľ  5x1220x2520 mm AB/BB 5-vrstvová,Poplar,AB/BB 5-vrstvová,5,1220,2520,1239.1365,3.0744002,403.04984
drevoma.sk,Plywood,Preglejka priemyselná Borovica vodovzdorne lepená 18x1250x2500 mm lll/lll,Pine,lll/lll,18,1250,2500,1584.9644,3.125,507.1886
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 15x1250x2500 mm BB/BB,Birch,BB/BB,15,1250,2500,2400.0269,3.125,768.0086
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 6x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,6,1250,2500,824.2395,3.125,263.75665
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 9x1250x2500 mm BB/BB,Birch,BB/BB,9,1250,2500,1589.3114,3.125,508.57965
drevoma.sk,Plywood,"Preglejka dýhovaná Dub/Balans 3,6x1220x2440 mm A/BB",Dub/Balans,A/BB,6,1220,2440,1091.3385,2.9768,366.61465
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Topoľ 10x1250x2500 mm,Poplar,,10,1250,2500,1775.025,3.125,568.008
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 12x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,12,1250,2500,2046.7125,3.125,654.948
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 12x1250x2500 mm BB/CP,Birch,BB/CP,12,1250,2500,2055.8894,3.125,657.8846
drevoma.sk,Plywood,Preglejka vodovzdorná / hladká Topoľ 12x1250x2500mm,Poplar,,12,1250,2500,1847.475,3.125,591.192
drevoma.sk,Plywood,Preglejka priemyselná Borovica vodovzdorne lepená 21x1250x2500 mm lll/lll,Pine,lll/lll,21,1250,2500,1811.25,3.125,579.6
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 18x1500x3000 mm,Birch,,18,1500,3000,4694.76,4.5,1043.2799
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 12x1250x2500 mm,Birch,,12,1250,2500,2191.6125,3.125,701.31604
drevoma.sk,Plywood,Preglejka stolárska Smrek 18x1250x2500 mm AB,Spruce,AB,18,1250,2500,2996.0488,3.125,958.7356
drevoma.sk,Plywood,Preglejka stolárska Buk 12x1250x2500 mm BB/CP,Beech,BB/CP,12,1250,2500,2218.9019,3.125,710.0486
drevoma.sk,Plywood,Preglejka stolárska Buk 8x1250x2500 mm BB/CP,Beech,BB/CP,8,1250,2500,1507.9259,3.125,482.5363
drevoma.sk,Plywood,Preglejka stolárska Buk 6x1250x2500 mm BB/CP,Beech,BB/CP,6,1250,2500,1299.5115,3.125,415.84366
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 5x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,5,1250,2500,751.7895,3.125,240.57263
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Topoľ 15x1250x2500 mm,Poplar,,15,1250,2500,2182.677,3.125,698.45667
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 15x1500x3000 mm,Birch,,15,1500,3000,4107.915,4.5,912.87
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 15x1250x2500 mm,Birch,,15,1250,2500,2617.377,3.125,837.5606
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 10x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,10,1250,2500,1240.827,3.125,397.06464
